Argo CD,ADOPT,ADOPT,TRIAL,TRIAL,TRIAL,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,,,,,,,,,,
CircleCI,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ASSESS,HOLD,HOLD,HOLD,,,,,,,,,,,,,,,,
Drone,ADOPT,ADOPT,,,,,,,,,,,,,,,,,,,,,,,
Flagger,ASSESS,ASSESS,,,,,,,,,,,,,,,,,,,,,,,
Flux,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,TRIAL,ASSESS,ASSESS,ASSESS,,,,,,,,,,,,,,
GitHub Actions,ADOPT,ADOPT,TRIAL,TRIAL,TRIAL,TRIAL,TRIAL,TRIAL,TRIAL,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,,,,,,,,,
Gitlab,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,TRIAL,TRIAL,TRIAL,ASSESS,ASSESS,ASSESS,HOLD,,,,,,,,,,,,,
Helm,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,TRIAL,TRIAL,TRIAL,TRIAL,HOLD,HOLD,HOLD,,,,,,
Jenkins,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ADOPT,ASSESS,ASSESS,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
Jenkins X,TRIAL,ASSESS,ASSESS,ASSESS,HOLD,HOLD,,,,,,,,,,,,,,,,,,,
jsonnet,ADOPT,TRIAL,ASSESS,ASSESS,HOLD,HOLD,,,,,,,,,,,,,,,,,,,
Kustomize,ADOPT,ADOPT,ADOPT,ADOPT,TRIAL,TRIAL,ASSESS,ASSESS,ASSESS,,,,,,,,,,,,,,,,
Spinnaker,TRIAL,TRIAL,TRIAL,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,ASSESS,HOLD,HOLD,HOLD,HOLD,,,,,,,,,,,,
TeamCity,ADOPT,HOLD,,,,,,,,,,,,,,,,,,,,,,,
Tekton CD,ASSESS,ASSESS,,,,,,,,,,,,,,,,,,,,,,,
Travis CI,ADOPT,TRIAL,ASSESS,HOLD,HOLD,,,,,,,,,,,,,,,,,,,,
